"gap","timeEff","durEff","diamonds","totalBlocks","complete","completeEff"
12,59.5405819295559,0.341153902906891,27,2312,0.191489361702128,0.42227363070607
13,60.78697421981,0.329254410927718,28,2314,0.198581560283688,0.431113292339078
14,95.429056924384,0.211053223005414,39,2066,0.276595744680851,0.676801822158752
15,39.265141961212,0.509711155378486,16,2047,0.113475177304965,0.278476184122071
16,51.4469453376206,0.397299690128375,18,1795,0.127659574468085,0.364871952749082
17,110.294117647059,0.180378486055777,40,1811,0.283687943262411,0.782227784730914
18,55.1127921113062,0.360674947269745,17,1539,0.120567375886525,0.390870866037633
19,48.9352061622111,0.408233731739708,15,1537,0.106382978723404,0.347058199731994
20,55.3045364178565,0.361143660651512,17,1541,0.120567375886525,0.392230754736571
0,22.6676301677252,0.871146287333886,149,32580,1,0.152131746092116
1,37.8116308576518,0.521625498007968,125,16366,0.838926174496644,0.253769334615113
2,56.4482716859906,0.348816117643248,123,10769,0.825503355704698,0.378847460979802
3,68.2924394079325,0.287691339903544,114,8232,0.76510067114094,0.458338519516326
4,68.98974735699,0.28481629039398,90,6434,0.604026845637584,0.463018438637517
5,57.8187936572681,0.340732308859799,63,5388,0.422818791946309,0.388045595015222
6,66.1588167294069,0.297326821745277,62,4627,0.416107382550336,0.444018904224207
7,73.0466021355154,0.26908758408987,61,4120,0.409395973154362,0.490245651916211
8,65.9781218380711,0.29855577689243,48,3597,0.322147651006711,0.442806186832692
9,76.8512341561041,0.256557104913679,48,3091,0.322147651006711,0.51578009500741
10,93.3493397358943,0.209679799321234,54,2842,0.36241610738255,0.626505635811371
11,38.8202943872324,0.509163346613546,20,2556,0.134228187919463,0.260538888504916
12,43.1771161284519,0.458764940239044,20,2303,0.134228187919463,0.289779302875516
13,49.027444710898,0.399965355967435,23,2309,0.154362416107383,0.329043253093275
14,79.4223826714802,0.248943619461548,33,2062,0.221476510067114,0.533036125311947
15,55.6133928871277,0.355620994283735,23,2053,0.154362416107383,0.373244247564615
16,86.1576468771713,0.231846806323095,31,1804,0.208053691275168,0.578239240786385
17,73.9923114984965,0.265751807584477,27,1801,0.181208053691275,0.496592694620782
18,45.0502793296089,0.43739328400683,14,1537,0.0939597315436242,0.302350867983953
19,67.6722015843888,0.29292354391956,21,1544,0.140939597315436,0.454175849559657
20,88.5219987705278,0.220261809903244,28,1548,0.187919463087248,0.594107374298844
